我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
我的女儿参加了她的第一个生日派对，是给她的朋友举办的。 她在参加派对前非常兴奋。 她那一个星期没谈论别的。 她去参加了派对并玩得很开心。
鲍勃需要钱买食物。 他很伤心，他因为没钱而无法吃饭。 他决定写一本书描绘他的艰苦生活。 人们立刻盛赞他的书并购买了数千本!
我今天刚刚跑完了我的第一场马拉松。 它大约有六英里，我付出了很多努力。 我为此训练了大约三个月。 它一直在我生活中的待办事项清单上
鲍比把他的水果软糖卷折成一架飞机的形状。 他屈起手臂，用尽全力把软糖卷飞机掷出去。 然而它太重了，像一块砖头一样落下来。 鲍比决定用纸来做飞机。
一天夜里萨姆正在观星。 突然他一下子坐直了身体。 他看到一颗闪烁的、正在移动的星星！ 他跑去把它指给他父亲。
约翰和梅格约会了5年。 约翰爱着梅格，想要跟她结婚。 他决定在今晚的电影约会后向她求婚。 当他们走出电影院时，他突然跪下。
一串美丽的香蕉就挂在将将触手可及的地方。 鲍比试着扔出他的鞋子，但它卡住了。 他试着爬上树，但却掉了下来。 接着，他用锄头猛打，但它太短了，够不到。
贝丝正从一场疾病中恢复。 在4天后，她终于能吃东西了。 尽管她好些了，但还没全好。 她决定周五从学校请假，花时间恢复。
朗达买了几双新的粉红色袜子来穿。 她喜欢它们。 然而，当她脱掉它们的时候，它们跟其他要洗的衣物混在了一起。 在洗衣日她没把它们挑出来就洗了衣服。 
在一场风暴中，大海很可怕。 马库斯讨厌小船被抛上高空又坠落的样子。 这让他感到胃部不适。 他蜷缩在船舱里闭上眼睛，但没有用。
昨天，安娜决定打个盹。 她舒服地坐在椅子上并闭上眼睛。 就在她要睡着的时候，她女儿的小狗跳到了她腿上！ 她吃了一惊。
查克喜欢他房子旁边的这家酒吧。 他总是跟朋友去那里。 一天他在去那里的路上，然后发现它关门了。 它已经被迫停业了。
史蒂夫正坐在咖啡馆里。 在咖啡馆的时候，他经常读书。 然而，今天他忘记了他的书。 他除了进行很多思考之外别无选择。
约翰在开车去商店的时候意识到他忘记了他的钱包。 他的驾驶证在钱包里。 警灯开始在他后面闪烁。 在靠边停车后，他告诉警官他把钱包忘在了家里。
在成长过程中，汤姆喜欢益智游戏。 他不仅仅是在密室逃脱冒险之外。 他平复他的呼吸，并在精神上做好准备。 30分钟后，他以创纪录的时间离开了密室。
吉娜在打扫房间时感到无聊。 但这是必须要做完的。 她决定打开收音机。 这是一首她从来没听过的歌。
一场小型暴风雪穿过了一个镇子。 学校的屋顶在重量下变了形。 一名管理员爬到上面检查。 屋顶在新的重量下摇晃。
我的生日是昨天。 让我惊讶的是，我的朋友们为我策划了一场派对。 我不敢相信。 派对非常有趣。
我妈妈丢掉了她的旧字典。 我把它从垃圾里找了回来。 跟它坐在一起，我发现自己在闻它。 它让我想起一座老图书馆的味道。
1963年，我们的父母带我们去了百丽宫公园。 我们在波士顿的罗尔斯码头乘坐了渡船。 我们乘坐了旋转木马、“鞭子”和“毛毛虫”。 我们玩了滑雪球。
我最喜欢的电影是《绿野仙踪》。 在我小时候，我曾经认为它是真的。 每当我观看它的时候，我都感觉沉浸在电影中。 角色们带我进入奥兹国。
玛丽·安去公园的一条小路上散步。 她经过了带着小孩和动物的人们。 她经过了在慢跑和骑自行车的人们。 她看到了许多植物。
一天，一只狗搬进了一个有两只猫的家庭。 一只猫不在意新来的狗，但另一只猫很害怕。 他大声喵喵叫，还去挠狗的鼻子。 他从房间的一边跳到另一边，以躲开那只狗。
我最喜欢的动物是阿拉伯剑羚。 我通常看不到他们，因为这是一种非洲羚羊。 我必须去动物园。 今年我家给我买了一件不错的生日礼物。
每天，我都唠叨我的女儿，让她做作业。 我最终决定这是她自己的责任。 果然，有一天晚上她没有做作业。 尽管知道她会在学校遇到麻烦，我还是让她去睡觉了。
一个小男孩想给他的棒球队投球。 他跟他的兄弟们进行了很多练习。 在训练中，他的教练让他试着当投手。 这个男孩没有表现好。
苏在半夜因为一股可怕的味道而醒来。 她搞不清楚那是什么。 她环顾房间。 然后她注意到了它。
一天，马克注意到他开始牙疼。 他决定去拜访他的牙医，看看是怎么回事。 牙医告诉马克，他需要拔掉他的智齿。 马克同意做这个手术。
露露刚刚搬进她的新家。 她第一次拥有了一台洗碗机。 那天晚上她决定洗一次碗。 在格子里，她倒了一些洗洁精。
农场主比尔呼唤着田野中的奶牛们。 它们跑进来吃东西。 比尔在大箱子里倒了一些谷物给奶牛们。 奶牛们开心地吃着它们的晚餐。
特里沮丧而心灰意冷地离开了医院。 他的拇指骨折了，难以打开车门。 在家中，他请求他的姐姐借钱给他做手术。 她同意了，条件是他去找一份有保险的工作。
玛丽在一家汽车经销公司工作了2年，没有卖出过。 她的老板告诉她，她必须赶快卖出一辆车。 一天一对夫妇来到经销公司，要求看车。 玛丽卖给他们一辆很大、很贵的车。
布里和她的猫搬到了她男朋友和他的猫那里。 这两只猫讨厌对方。 它们大部分时间都用来冲对方嘶叫。 六个月后的一个晚上，猫们决定依偎在一起。
蒂姆需要新的厨房地板。 他的地板已经变旧且开裂。 于是他去买新的地砖。 他找到了很不错的地砖，买回了家。
戴夫决定有朝一日要去看一场五分钱乐队的演出。 他预订了几张门票。 然后他邀请了几个朋友。 他们一起去看演出，玩的很开心
在一个墓地，有199块墓碑。 12个人购买了一口棺材。 12个人把棺材埋进地里。 男人和女人一起哭泣。
乔自信的开始这场拳击赛。 前四个回合他占得优势。 第五回合他吃了一记左勾拳，弄伤了眼部。 最后七个回合两人平分秋色。
吉米遇到了一件非常糟糕的事。 他从卧室地板上捡起一包薯片。 在出门之前，他吃了一些薯片。 出来以后，他的朋友说，为什么你的包上面有蚂蚁在爬？
我的儿子参加了一场童子军玩具车比赛。 父子团队设计了小小的火柴玩具车。 一些团队设计的车很花哨。 我们的车设计简单，还赢得了比赛。
布莱恩今年尝试加入冰球队。 不幸的是，他没能加入球队。 教练说他的滑冰速度不够快。 布莱恩一整个冬天都在进行速滑训练。
凯莉在滑雪的时候突然听到身后很大的动静。 她回头看到一面雪墙正在朝她而来。 她吓坏了，赶紧加速滑下山坡。 当雪崩赶上她时，她快速跳到了树上。
哈利很想看新的星球大战电影。 在上映首日，他在售票处排队。 他给自己买了一张票。 他看完了整部电影。
第二天，马克要开始一份新的工作。 周围都是陌生人，让他感到很紧张。 因为焦虑，前一天晚上他几乎彻夜未眠。 当他进入大楼时，很多人热情的和他打招呼。
艾伦的女婴睡在她自己的房间里的婴儿床上。 一天早上，艾伦没有听到女婴哭闹，于是她去看看情况。 她的女儿既不动，也不呼吸！ 她吓坏了，赶忙报警。
珀尔收集封面设计很丑的CD专辑。 她很珍视一张爵士CD，封面是经过图形处理软件放到一起的两只海豚。 她的妹妹生她的气，把那张CD偷走了。 珀尔心痛极了，央求妹妹还给她。
安娜去了沙滩。 退潮时，她看到了一个水潭。 她前去查看，里面的生物让她惊呆了。 有鱼、海胆、海星——不可思议！
当布里安娜一家去野营时，她苦闷地大发牢骚。 那会毁了她的头发和指甲，而且没有电视。 不过当她第一次品尝到烤棉花糖巧克力夹心饼时，这些事她都忘了。 她一边大快朵颐，一边充满敬意地仰望广袤的星空。
沙耶在林中徒步。 然后她发现自己迷路了！ 她努力让自己不要惊慌。 她沿着自己的足迹返回，直至找到回营地的路。
特洛伊是他所在篮球队的最佳球员。 今天晚上他的球队将会进行一场锦标赛。 特洛伊拿下56分，帮助他的队伍获得胜利。 赛后，他举起了巨大的奖杯。
西蒙食物中毒了。 他回想了最近去过的所有餐馆。 他打电话给和他一起在这些餐馆吃饭的朋友们。 其中一个朋友告诉他，他也食物中毒了。
阿诺德害怕鸟。 一天他去野餐。 一只鸟在远处飞。 它降落在他的食物上。
一天，亚当买了两把软气枪。 其中一把他给了儿子克里斯蒂安。 克里斯蒂安想要在屋子里玩枪。 克里斯蒂安开枪打破了电视机屏幕。
基普很失望，没有任何表演。 他向父母抱怨，没有表演就不算是圣诞节。 他们让他去睡觉。 基普跺着脚回了房间，最后睡着了。
本一直想学弹钢琴。 随着孩子长大成人，他有了更多的空余时间。 本报名了本地老师的钢琴课。 虽然很难，但是他全力以赴地学习。
本森在学校被一个男孩欺负。 本森因此开始失眠。 他最后把这件事告诉了学校的老师。 学校和恶霸谈了谈这个问题。
我和父亲在后院给植物腾地方。 我们挖了几分钟，努力腾出空间。 我发现一个埋在地里的盒子。 我往里一看，发现有一只死去的动物。
凯伦去上学了，留下她的伴侣塞姆一个人。 塞姆想念凯伦，但是他想出了一个计划来解决这件事。 在一个长周末，塞姆坐火车去北部看望凯伦。 凯伦也想念塞姆，她也想出了一个计划来解决这个问题。
乔伊和朋友一起野营。 他想要生火来烤棉花糖。 他在树林里找了一些木棍和圆木。 他用火柴来点燃圆木。
黛安娜的工作是清洁办公大楼。 她清洗厕所和擦地板。 星期五她生了重病，在工作时感到恶心。 她没法休假。
杰森最好的朋友明年要在印度结婚。 杰森决定要在婚礼前学会印地语。 他请了一个老师，每天学说印地语。 婚礼当天，杰森能说流利的印地语了！
托德和阿什利在约会。 托德生阿什利的气。 他不理她。 阿什利很烦恼。
我和朋友受邀去一个大学参加聚会。 为了这个令人激动的活动，我们好好打扮了一番。 我们非常兴奋，想要尽情玩耍！ 在聚会上，我们一直跳舞。
凯莉和她的朋友想要举行烘焙派对。 女生们决定烘焙一些饼干。 他们烘焙了巧克力和燕麦饼干。 做完以后，她们把饼干装进了袋子里。
女孩们是大麻烦。 有时候她们会说些口是心非的话。 上一个跟我说话的女孩对我撒了谎。 她告诉我她很富有。
那天非常冷。 大雪已经下了好几个小时。 兰辛市停电了，人们被困在家里。 暴风雪让城市的积雪达到三英尺。
拉里正在和他爸爸打高尔夫球。 拉里刚才喝了咖啡，感到精力充沛。 他用尽全力打他的第一杆。 拉里打了个一杆进洞！
凯蒂醒来很兴奋，因为今天是她的生日。 但是一天过去了，她没有收到任何礼物。 她开始感到沮丧，以为大家都把她忘记了。 一会儿她肚子饿了向厨房走去，但又停了下来。
最近我对我的工作很不满意。 我决定找一个新工作，这样我会开心一些。 我投了很多不同的公司。 有一个公司给我回电让我去参加面试。
琳赛非常想要一双新鞋子。 这双鞋很贵。 她决定存钱。 几周后她可以买这双鞋了。
为了加入一个姐妹会，奥拉不敢洗澡。 她无法想象一周都没有干净水的日子！ 然后她想到了一个空子可以钻。 她们没有说过奥拉不能泡澡！
艾莉森25岁生日那天，家人带她去玩宾戈游戏。 她以前从来没玩过，她很紧张。 他们教了她怎么玩，她很兴奋地开始玩。 第四轮时她赢了。
妮娅想看市中心游行。 她坐了三辆公交车。 然后她坐了地铁。 她及时赶到了市中心。
玛德琳很兴奋在萨克斯百货买了一个新包。 她妈妈带她到箱包区。 玛德琳一眼看上了一个粉红色包包。 她无法相信自己的眼睛它是如此漂亮。
汤姆买了一颗新植物。 他把它放在床边。 植物停止了生长。 他妈妈说植物需要阳光。
达比修有是德克萨斯游骑兵的投手。 在过去两个赛季他受伤了。 据报道，他终于恢复健康可以上场比赛了。 游骑兵的球迷们希望他能成为投手们的领袖。
艾弗里收到一份两周后要交的家庭作业。 他马上通读了一遍任务。 她制作了一个计划表，并把每天的任务分出来。 她如期完成了任务。
切斯特决定在一个下午去商场。 他不打算买任何东西，只是逛一逛。 然而，他看到一件很漂亮的衬衫在打折。 切斯特买了这件衬衫，因为价格很实惠。
吉娜意识到她得开始写她的报告了。 她已经浪费了整整一天，只剩下一天来完成报告了。 她坐下开始写报告。 她妈妈想让她去洗碗。
星期二是我公寓的洗衣日。 上几个周二我们都太忙了。 现在我们几乎没有干净的衣服可以穿了。 我穿得乱七八糟，还散发出难闻的味道。
外面是美丽的夏天。 鲍勃决定去公园散步。 鲍勃沿小路走着欣赏风景。 他发现地上有一张20美金的钞票。
梅根和斯科特想看他们最喜欢的乐队在音乐会上的表演。 门票开始在网上销售，服务器很忙。 梅根和斯科特很努力地买票。 就在音乐会门票几乎售罄的时候，梅根找到了两张票。
约翰刚刚高中毕业，要去上大学了。 他的妈妈帮他收拾好所有行李，他开车离开了。 他到了那儿去看了他的宿舍。 他的新室友也在，他们很合拍。
杰基多年来一直是一名长跑运动员。 尽管她的Ipod装满了音乐，但她还是开始对音乐感到厌倦了。 她的一个跑友向她推荐了一本有声书。 她把新书装进她的ipod。
阿里的朋友们怂恿她在当地的鬼屋过夜。 阿里犹犹豫豫地答应了。 她从房子的窗户爬了进去。 然后她裹着毯子蜷缩在角落。
萨姆开着远光灯四处转。 他的一个车灯坏了，他认为这样更安全。 他昨晚被拦了下来。 警察给他开了一张罚单，让他把车灯修好。
一天晚上，一群朋友决定玩通灵板。 一切都很有趣，他们玩了一个小时。 结束后他们躺下睡觉。 几分钟后他们听到地板上传来了奇怪的敲击声。
简厌倦了冬天和寒冷的天气。 她在广告上看到一辆适合旅行的车。 她买下了这辆车，在地图上计划旅行。 她开车走遍了整个佛罗里达州。
尼尔刚到伊朗。 他对城市和乡村都很着迷。 他认为山很美丽。 这里的语言和人也很好。
安德鲁已经单身很多年了。 虽然他很想有一个女朋友，但他不知道如何去接近人。 终于有一个朋友给安德鲁介绍了一个年轻漂亮的女孩。 安德鲁邀请她出来约会。
艾米快赶不上飞机了。 她匆忙通过机场安检。 她能从登机口的扬声器中听到自己的名字。 她一路狂奔，向恼怒的空姐打了招呼。
安娜在沙滩上晒太阳。 她在温暖的阳光下打了个盹儿。 三个小时后她醒了。 她惊讶地看着镜子里的自己。
保罗觉得自己很勇敢，他尝试去参军。 军队说他太柔弱不能参加。 保罗没有气馁，他尝试去参加海军。 海军拒绝了他，因为他不会游泳。
猫在空荡的仓库里抓老鼠。 这只啮齿动物在恐惧中以最快的速度逃跑。 这只大猫科动物紧跟其后。 它被吓坏了。
尼尔飞到了俄罗斯。 在那里，他参观了景点，看到了友善的当地人。 他发现俄罗斯是丰富多彩，活力四射的。 它还拥有灿烂丰富的历史。
玛丽做了蜡烛。 她将这当成一种爱好。 玛丽将蜡烛赠送给朋友。 大家都很喜欢这些蜡烛，都想买一只。
那是一个夏天，吉娜和妹妹倍觉无聊。 她们决定看些音乐短片。 有音乐短片频道，也有黑人娱乐频道。 她们选择观看黑人娱乐频道。
我当时对自己要去海滩这件事儿感到非常兴奋。 我把所有东西都装到了车里。 我驾车到了那儿，穿上了我的泳裤。 我走出更衣室时，开始下雨了。
阿诺德害怕猫。 他觉得它们都很吓人。 有一天，他去了女友家。 他女友养了一只猫。
利亚是一位全日制大学生，想找一份兼职工作。 利亚在克雷格列表上搜索，找到了一个初级岗位。 利亚申请了这份工作，第二天接到了面试电话。 利亚前去面试，发挥得很不错。
